,id,name,genres,budget,popularity,release_date,vote_average,runtime
0,631,sunrise-a-song-of-two-humans,"Drama,Romance",200000,13.788,1927-11-04,7.858,94
1,28966,wings,"Drama,Action,War,Romance",2000000,12.105,1927-08-12,7.205,141
2,65203,the-broadway-melody,"Music,Romance,Drama",379000,9.704,1929-02-08,5.193,101
3,143,all-quiet-on-the-western-front,"Drama,War",1448864,14.105,1930-04-29,7.756,134
4,42861,cimarron,"Drama,Western,History",1433000,11.435,1931-01-26,5.5,123
5,33680,grand-hotel,"Drama,Romance",700000,18.305,1932-05-25,6.948,112
6,56164,cavalcade,"Drama,War",1180280,8.71,1933-02-08,5.516,112
7,3078,it-happened-one-night,"Comedy,Romance",325000,16.305,1934-02-22,7.874,105
8,12311,mutiny-on-the-bounty,"Adventure,Drama,History",1950000,10.883,1935-11-22,7.336,132
9,43277,the-great-ziegfeld,"Drama,Music,Romance",2183000,7.925,1936-04-08,6.252,185
10,43278,the-life-of-emile-zola,"Drama,History",699000,9.137,1937-09-09,6.591,116
11,34106,you-cant-take-it-with-you,"Comedy,Romance",1644736,18.154,1938-09-01,7.462,130
12,770,gone-with-the-wind,"Drama,War,Romance",4000000,50.985,1939-12-15,7.966,238
13,223,rebecca,"Mystery,Romance,Thriller,Drama",1288000,20.725,1940-03-23,7.914,130
14,43266,how-green-was-my-valley,Drama,1250000,14.044,1941-10-28,7.229,118
15,27367,mrs-miniver,"Drama,Romance,War",1344000,10.729,1942-07-03,7.055,134
16,289,casablanca,"Drama,Romance",878000,28.172,1943-01-15,8.171,102
17,17661,going-my-way,"Comedy,Drama,Music",0,9.661,1944-05-15,6.785,126
18,28580,the-lost-weekend,Drama,1250000,14.07,1945-11-29,7.652,101
19,887,the-best-years-of-our-lives,"Drama,Romance,War",2100000,19.681,1946-12-25,7.814,171
20,33667,gentlemans-agreement,"Drama,Romance",2000000,12.001,1947-11-11,6.979,118
21,23383,hamlet,Drama,750000,13.986,1948-12-10,7.493,153
22,25430,all-the-kings-men,Drama,2000000,12.939,1949-11-16,6.94,109
23,705,all-about-eve,Drama,1400000,19.719,1950-10-06,8.125,139
24,2769,an-american-in-paris,"Comedy,Music,Romance",5635000,13.542,1951-09-26,7.028,113
25,27191,the-greatest-show-on-earth,"Drama,Family,Romance",4000000,14.145,1952-02-16,6.261,152
26,11426,from-here-to-eternity,"War,Romance,Drama",1650000,26.991,1953-08-28,7.302,118
27,654,on-the-waterfront,"Crime,Drama",910000,25.094,1954-06-22,7.943,108
28,15919,marty,"Drama,Romance",343000,16.329,1955-04-11,7.462,90
29,2897,around-the-world-in-eighty-days,"Adventure,Comedy,Family,Fantasy,Romance",6000000,16.662,1956-10-17,6.7,182
30,826,the-bridge-on-the-river-kwai,"Drama,History,War",3000000,15.418,1957-10-11,7.83,161
31,17281,gigi,"Comedy,Romance",3319355,10.975,1958-05-15,6.237,116
32,665,ben-hur-1959,"Action,Drama,History,Adventure",15000000,35.858,1959-11-18,7.873,222
33,284,the-apartment,"Comedy,Drama,Romance",3000000,29.231,1960-06-21,8.222,125
34,1725,west-side-story,"Crime,Drama,Romance",6000000,19.795,1961-12-13,7.3,151
35,947,lawrence-of-arabia,"Adventure,Drama,History,War",15000000,26.435,1962-12-11,7.976,228
36,5769,tom-jones,"Adventure,Comedy,Romance",1000000,13.93,1963-08-24,6.0,128
37,11113,my-fair-lady,"Romance,Drama,Comedy",17000000,18.639,1964-10-21,7.5,170
38,15121,the-sound-of-music,"Drama,Family,Music,Romance",8200000,31.689,1965-03-29,7.703,174
39,874,a-man-for-all-seasons,"Drama,History",3900000,12.251,1966-12-13,7.347,120
40,10633,in-the-heat-of-the-night,"Crime,Drama,Mystery,Thriller",2000000,25.793,1967-08-02,7.669,109
41,17917,oliver,"Drama,Family,Music",10000000,22.559,1968-09-26,6.959,153
42,3116,midnight-cowboy,Drama,3600000,19.572,1969-05-25,7.51,113
43,11202,patton,"War,Drama,History",12000000,15.302,1970-01-25,7.518,172
44,1051,the-french-connection,"Action,Crime,Thriller",1800000,17.228,1971-10-09,7.539,104
45,238,the-godfather,"Drama,Crime",6000000,124.317,1972-03-14,8.707,175
46,9277,the-sting,"Comedy,Crime,Drama",5500000,22.874,1973-12-25,8.02,129
47,240,the-godfather-part-ii,"Drama,Crime",13000000,58.355,1974-12-20,8.6,202
48,510,one-flew-over-the-cuckoos-nest,Drama,3000000,35.486,1975-11-19,8.42,133
49,1366,rocky,"Drama,Romance",1000000,58.82,1976-11-21,7.787,119
50,703,annie-hall,"Comedy,Drama,Romance",4000000,17.698,1977-04-19,7.751,93
51,11778,the-deer-hunter,"Drama,War",15000000,31.313,1978-12-08,7.997,183
52,12102,kramer-vs-kramer,Drama,8000000,15.238,1979-12-07,7.555,105
53,16619,ordinary-people,Drama,6000000,13.323,1980-09-19,7.425,124
54,9443,chariots-of-fire,"Drama,History",5500000,16.616,1981-05-15,6.801,124
55,783,gandhi,"Drama,History",22000000,19.855,1982-11-30,7.544,191
56,11050,terms-of-endearment,"Drama,Comedy",8000000,15.854,1983-11-20,7.1,132
57,279,amadeus,"History,Music,Drama",18000000,25.593,1984-09-19,8.036,161
58,606,out-of-africa,"History,Romance,Drama",31000000,17.08,1985-12-20,7.147,161
59,792,platoon,"Drama,War,Action",6000000,30.211,1986-12-19,7.747,120
60,746,the-last-emperor,"Drama,History",23000000,21.247,1987-10-04,7.624,163
61,380,rain-man,Drama,25000000,32.322,1988-12-12,7.756,134
62,403,driving-miss-daisy,Drama,7500000,13.401,1989-12-13,7.233,99
63,581,dances-with-wolves,"Adventure,Drama,Western",22000000,35.172,1990-03-30,7.845,181
64,274,the-silence-of-the-lambs,"Crime,Drama,Thriller",19000000,11.852,1991-02-14,8.343,119
65,33,unforgiven,Western,14400000,28.293,1992-08-07,7.914,130
66,424,schindlers-list,"Drama,History,War",22000000,88.226,1993-12-15,8.573,195
67,13,forrest-gump,"Comedy,Drama,Romance",55000000,113.617,1994-06-23,8.477,142
68,197,braveheart,"Action,Drama,History,War",72000000,37.437,1995-05-24,7.932,177
69,409,the-english-patient,"Drama,Romance,War",27000000,22.69,1996-11-14,7.178,162
70,597,titanic-1997,"Drama,Romance",200000000,108.314,1997-11-18,7.9,194
71,1934,shakespeare-in-love,"Romance,History,Comedy",25000000,26.186,1998-12-11,6.868,123
72,14,american-beauty,Drama,15000000,36.237,1999-09-15,8.021,122
73,98,gladiator-2000,"Action,Drama,Adventure",103000000,62.908,2000-05-04,8.209,155
74,453,a-beautiful-mind,"Drama,Romance",58000000,40.348,2001-12-11,7.851,135
75,1574,chicago,"Comedy,Crime,Drama",45000000,22.113,2002-12-10,7.109,113
76,122,the-lord-of-the-rings-the-return-of-the-king,"Adventure,Fantasy,Action",94000000,127.501,2003-12-01,8.474,201
77,70,million-dollar-baby,Drama,30000000,25.441,2004-12-15,7.958,132
78,1640,crash-2004,Drama,6500000,17.421,2005-05-06,7.222,112
79,1422,the-departed,"Drama,Thriller,Crime",90000000,51.67,2006-10-04,8.166,151
80,6977,no-country-for-old-men,"Crime,Drama,Thriller",25000000,39.751,2007-06-13,7.933,122
81,12162,slumdog-millionaire,"Drama,Thriller,War",15000000,26.28,2008-10-10,7.253,131
82,12405,the-hurt-locker,"Drama,Romance",15000000,21.783,2008-11-12,7.734,120
83,45269,the-kings-speech,"Drama,History",15000000,27.534,2010-11-26,7.74,118
84,74643,the-artist,"Drama,Comedy,Romance",15000000,22.31,2011-10-12,7.452,100
85,68734,argo,"Drama,Thriller",44500000,25.66,2012-10-11,7.275,120
86,76203,12-years-a-slave,"Drama,History",20000000,38.693,2013-10-18,7.946,134
87,194662,birdman-or-the-unexpected-virtue-of-ignorance,"Drama,Comedy",18000000,45.851,2014-10-17,7.471,120
88,314365,spotlight,"Drama,History",20000000,25.713,2015-11-06,7.814,129
89,376867,moonlight-2016,Drama,4000000,23.25,2016-10-21,7.392,111
90,399055,the-shape-of-water,"Drama,Fantasy,Romance",19500000,54.978,2017-12-01,7.247,123
91,490132,green-book,"Drama,Comedy",23000000,52.18,2018-11-16,8.243,130
92,496243,parasite-2019,"Comedy,Thriller,Drama",11363000,84.728,2019-05-30,8.515,133
93,581734,nomadland,Drama,5000000,23.318,2021-01-29,7.237,108
94,776503,coda-2021,"Drama,Music,Romance",10000000,40.274,2021-08-11,7.966,112
95,545611,everything-everywhere-all-at-once,"Action,Adventure,Science Fiction",25000000,96.583,2022-03-24,7.823,140
